id,Nama,Nomor Whatssap,Jenis kelamin,Pendidikan terakhir,Lama pengalaman (tahun),Jumlah lansia pernah dirawat,Umur,Keahlian,Mengurus rumah,Membantu pergerakan dan aktivitas fisik,Membantu konsumsi obat dan makanan,Mengecek kesehatan rutin secara mandiri,Mendampingi dan menjaga,Memasangkan alat medis khusus,Memeriksakan rutin ke dokter,Indonesia,Inggris,Jawa,Sunda,Melayu,Kota,Gaji
524,Leighton Pisculli,+62 830-5608-1235,1,3,0,0,36,1,0,0,0,0,1,0,0,0,0,1,1,1,KABUPATEN BOALEMO,860000
525,Lendy Aprisilya,+62 882-9568-9332,1,3,2,1,22,0.57,0,1,1,0,1,1,1,1,1,0,1,1,KABUPATEN PURWOREJO,1280000
526,Leonhard Natalie,+62 858-1923-1931,1,5,1,0,26,0.14,0,1,0,1,0,0,1,0,0,0,0,1,KOTA BUKITTINGGI,1420000
527,Les Dils,+62 882-9035-658,1,5,11,0,37,0.71,0,1,0,1,1,1,0,0,1,0,1,0,KABUPATEN MOJOKERTO,1770000
528,Levey Luxford,+62 827-3582-87377,1,5,7,7,37,0.71,1,1,1,1,1,0,0,1,1,1,1,1,KOTA SERANG,1420000
529,Lew Connor,+62 819-687-448,1,3,5,2,31,0.14,1,0,1,1,1,1,1,1,1,1,0,0,KOTA KUPANG,1120000
530,Lewes Knibbs,+62 881-113-049,1,5,16,13,36,0.71,1,1,1,0,0,0,0,0,0,0,0,0,KABUPATEN HULU SUNGAI SELATAN,1400000
531,Lewiss Franzel,+62 830-3515-6457,1,5,7,2,28,0.43,1,1,1,0,1,0,0,0,1,0,1,1,KABUPATEN MALUKU TENGAH,830000
532,Liam Sitwell,+62 880-1738-63018,1,5,8,3,33,0.57,1,1,1,0,0,0,1,1,0,0,1,0,KABUPATEN LAMONGAN,1290000
533,Lincoln Goomes,+62 816-8920-4136,1,3,5,3,39,0.43,1,0,1,1,0,0,1,0,1,1,0,0,KOTA PALANGKARAYA,1530000
534,Lintang Fikri,+62 817-625-491,1,5,0,0,37,0.57,0,0,1,1,1,0,0,1,0,1,1,1,KABUPATEN BOMBANA,1350000
535,Lintang Franclin,+62 879-2557-363,1,5,4,4,29,0.86,0,0,0,0,0,1,1,0,1,1,1,1,KABUPATEN LANDAK,580000
536,Lion Crampsy,+62 870-5903-7000,1,5,5,5,30,0.29,1,1,0,0,0,0,1,0,1,0,1,0,KABUPATEN KEPULAUAN TALAUD,820000
537,Lockwood Vasile,+62 877-703-948,1,3,1,0,35,0.71,1,1,1,0,1,0,0,0,1,1,1,0,KABUPATEN KAMPAR,1270000
538,Louis Weal,+62 818-0090-437,1,3,17,15,37,0.29,1,0,0,0,1,1,0,0,0,1,1,0,KABUPATEN TORAJA UTARA,1070000
539,Lowrance Segge,+62 895-8493-19633,1,3,2,2,25,1,0,0,1,0,0,0,1,1,0,0,0,0,KOTA SIBOLGA,1830000
540,Loy Firsby,+62 879-451-105,1,3,3,2,25,1,0,0,0,1,0,1,0,1,1,1,0,1,KABUPATEN SEMARANG,530000
541,Luca Santos,+62 898-3001-8639,1,3,0,0,26,1,0,1,0,1,0,1,1,0,0,1,1,1,KABUPATEN BANGLI,1520000
542,Lucien Yoxen,+62 865-0147-459,1,3,11,9,36,0,0,1,1,1,1,1,1,1,0,0,1,1,KABUPATEN BELITUNG TIMUR,1110000
543,Lucius Kryska,+62 884-060-093,1,5,3,3,28,1,1,1,0,1,1,1,0,0,0,1,0,1,KABUPATEN MADIUN,1410000
544,Lukas Pottes,+62 824-2108-96866,1,5,1,1,27,0.29,0,1,1,0,1,1,0,0,1,0,0,0,KABUPATEN TELUK BINTUNI,1340000
545,Lukman Ramadhansyah,+62 868-017-249,1,3,12,2,36,0.43,0,1,0,0,0,1,0,0,0,0,1,0,KABUPATEN BOLAANG MONGONDOW,740000
546,Luna Tri Riany,+62 829-1261-4587,0,1,1,0,27,1,0,1,1,0,1,0,0,1,0,1,1,1,KABUPATEN KLUNGKUNG,1820000
547,Lusiana Amalia,+62 830-541-477,0,1,3,2,30,0,1,1,0,0,0,0,0,1,0,1,1,0,KABUPATEN CIREBON,1620000
548,Magdalena Suryo,+62 876-3301-34514,0,2,10,9,33,0,1,0,0,1,1,0,0,1,0,1,1,1,KABUPATEN BUNGO,1350000
549,Maison Chatwin,+62 823-5108-82340,1,3,11,2,32,0,1,0,0,1,0,0,0,0,1,0,0,0,KABUPATEN DAIRI,1590000
550,Malchy Damrel,+62 839-166-189,1,5,2,2,22,0.43,0,1,1,1,0,0,1,0,1,1,0,0,KABUPATEN KEBUMEN,1090000
551,Mannie Pragnell,+62 876-9098-6956,1,5,0,0,21,0.29,1,0,0,0,1,0,0,0,0,1,1,0,KABUPATEN BLITAR,1400000
552,Marcello Ormesher,+62 890-4413-3095,1,5,3,0,24,0.57,1,0,1,0,0,1,1,1,1,0,1,0,KABUPATEN BANJAR,1860000
553,Mario Mubasyiroh,+62 850-3942-9354,1,3,6,0,27,0.29,0,1,0,0,1,0,0,1,1,0,0,0,KABUPATEN LUWU,1960000
554,Mark Geryance,+62 867-3632-383,1,3,2,2,27,1,0,1,0,0,0,1,0,0,0,1,0,0,KABUPATEN BONE,890000
555,Mark Nurfitria,+62 898-5929-9539,1,3,3,1,27,0.71,1,1,1,1,0,0,1,0,1,1,1,1,KOTA TANGERANG SELATAN,600000
556,Marlowe Hysom,+62 833-5160-93720,1,4,8,5,31,0.71,0,0,1,0,0,0,0,0,1,0,0,0,KABUPATEN CIREBON,1200000
557,Marshall Bowlesworth,+62 865-8359-6225,1,5,7,5,27,0.86,0,0,0,0,1,1,0,0,0,1,0,0,KOTA MANADO,1640000
558,Maruto Mulyanti,+62 869-2315-84744,1,5,2,0,22,0,0,1,1,1,0,1,1,0,1,1,1,1,KABUPATEN MALANG,760000
559,Maruto Purba,+62 885-8704-93925,1,3,0,0,21,0.86,0,1,1,1,1,1,0,1,1,1,0,1,KABUPATEN TANAH BUMBU,1070000
560,Maruto Siwi,+62 831-0770-8006,1,5,1,1,25,0.86,1,0,0,0,1,1,0,0,0,0,0,0,KABUPATEN KEPULAUAN MENTAWAI,1960000
561,Marza Indra,+62 825-1594-715,1,3,8,3,35,0.86,0,1,0,1,1,0,0,0,1,1,0,1,KABUPATEN DEMAK,1080000
562,Marza Nandita,+62 872-014-529,1,3,1,1,21,0.71,0,1,0,1,1,0,1,1,0,0,0,1,KOTA BINJAI,720000
563,Marza Rahadian,+62 872-3882-5326,1,3,10,9,31,0.57,1,0,1,0,0,0,1,1,1,0,0,0,KOTA BIMA,1630000
564,Massimiliano Goldster,+62 868-8916-257,1,5,0,0,22,1,1,0,1,0,0,1,0,0,0,0,1,1,KABUPATEN CIAMIS,770000
565,Massimo Shand,+62 880-1574-3444,1,5,7,6,28,0,0,0,1,0,1,1,0,0,0,0,1,1,KABUPATEN BARRU,1190000
566,Matthaeus Vowels,+62 838-048-693,1,5,4,0,31,0.14,1,0,0,0,0,0,1,0,0,0,0,1,KOTA SALATIGA,720000
567,Maureen Andrianto,+62 812-1217-5084,0,1,6,1,33,0,1,1,1,1,0,0,0,1,1,0,0,1,KABUPATEN BULUNGAN,820000
568,Maureen Listyani,+62 817-2752-655,0,2,7,4,30,0.71,0,0,0,0,0,0,0,0,1,0,1,1,KABUPATEN MAYBRAT,1840000
569,Maximilien Fernando,+62 899-823-382,1,5,7,7,35,1,1,1,0,0,1,0,0,1,1,1,1,0,KABUPATEN MANGGARAI,1100000
570,Mayang Prayugo,+62 813-7620-24843,0,1,1,1,30,0.57,1,0,0,0,1,0,0,1,1,1,0,1,KOTA MANADO,710000
571,Mayor Docwra,+62 878-8851-35189,1,5,6,4,26,0.71,0,1,0,1,1,1,0,1,0,0,1,0,KABUPATEN LABUHANBATU UTARA,700000
572,Megawati Ridanty,+62 877-8938-0092,0,2,18,9,38,0.43,0,0,1,0,1,0,1,0,0,0,0,1,KOTA JAYAPURA,1790000
573,Melvyn Blowfelde,+62 874-098-493,1,3,3,2,27,0,0,0,0,1,0,1,1,0,0,1,0,0,KOTA TOMOHON,1180000
574,Mercy Choirunnisa Akbar,+62 851-3074-9703,0,1,0,0,28,0.57,1,0,1,1,0,0,0,1,1,0,1,0,KABUPATEN PESISIR SELATAN,1080000
575,Merlina Suci Syaraswati,+62 870-0711-8953,0,2,4,4,34,0.43,0,1,0,1,1,0,0,0,0,0,0,1,KOTA LUBUK LINGGAU,680000
576,Meutia Chairunnisa,+62 824-1582-21031,0,1,16,9,36,0.71,1,0,1,1,1,0,0,0,0,1,1,0,KABUPATEN LINGGA,1010000
577,Mia Elleonora,+62 833-1600-22056,0,2,13,1,36,0.86,1,0,1,1,1,0,0,1,0,0,1,0,KOTA BANDA ACEH,1710000
578,Michael Andi Tobing,+62 836-7128-226,1,5,8,6,38,0.57,0,0,1,0,0,1,0,0,1,0,1,1,KABUPATEN MALINAU,1170000
579,Michael Foulks,+62 876-3442-341,1,5,14,9,36,0.57,0,1,1,1,1,1,1,0,1,1,1,0,KABUPATEN ACEH BARAT,1920000
580,Michael Hiland,+62 883-3916-1795,1,5,9,6,30,0.43,1,0,0,1,1,1,1,0,1,0,1,0,KABUPATEN ACEH SELATAN,720000
581,Michal Anderer,+62 897-6739-3754,1,3,9,4,31,0.14,1,1,0,0,1,0,0,1,0,1,1,1,KABUPATEN SIJUNJUNG,1070000
582,Michale Itshak,+62 892-198-268,1,5,16,2,37,0.14,1,0,0,1,0,0,0,1,1,1,1,0,KOTA TARAKAN,1530000
583,Mikol Clifford,+62 869-156-763,1,5,3,2,32,0.71,1,0,1,0,1,1,1,1,1,1,0,1,KABUPATEN DOMPU,540000
584,Mile MacGaughie,+62 830-9901-79867,1,5,6,6,28,0.86,0,1,1,1,0,1,1,0,0,0,0,1,KABUPATEN PUNCAK JAYA,650000
585,Miller Kavanagh,+62 832-7884-1758,1,3,5,3,33,0.57,0,0,1,0,1,1,0,1,1,1,1,1,KABUPATEN ACEH TENGAH,1260000
586,Milt Scorrer,+62 881-1672-158,1,2,15,7,35,0,0,0,1,0,0,0,0,1,0,0,1,1,KOTA CILEGON,780000
587,Milt Westwood,+62 893-8048-94802,1,4,6,3,38,0.86,1,0,0,0,0,0,0,0,0,1,1,0,KABUPATEN MALUKU TENGAH,1340000
588,Milton Kettle,+62 855-6899-886,1,2,0,0,21,0.14,0,1,1,1,1,0,1,1,0,0,0,1,KABUPATEN MESUJI,1440000
589,Milton Witton,+62 879-1273-885,1,2,5,4,29,0.29,1,0,1,1,1,0,0,1,0,0,1,1,KOTA BOGOR,1570000
590,Miriam Prasetyani,+62 898-267-691,0,2,10,6,33,0.71,1,1,0,1,0,0,0,0,0,0,1,1,KABUPATEN TANAH DATAR,1150000
591,Mirza Suryo,+62 822-5306-637,1,5,1,0,39,0,0,1,0,1,1,1,1,0,0,1,0,0,KOTA SURAKARTA,1660000
592,Mirza Tanuwijaya,+62 857-2289-398,1,4,1,0,22,0.86,1,0,0,0,0,1,0,1,1,0,0,0,KABUPATEN TOJO UNA UNA,1050000
593,Moerdiati Jenny Dinanti,+62 892-6209-6115,0,1,8,1,28,0.43,1,0,0,0,1,1,1,0,1,0,1,1,KOTA MANADO,1660000
594,Mohamad Shella,+62 890-0789-02546,1,5,3,0,26,0.57,1,0,0,0,1,1,1,1,0,0,0,0,KABUPATEN BANDUNG BARAT,1010000
595,Mohammad Chairunissa,+62 831-464-921,1,3,7,6,30,0,1,1,1,0,0,1,1,0,0,1,1,0,KABUPATEN PANGKAJENE KEPULAUAN,1550000
596,Mord Minnock,+62 861-9723-12619,1,5,3,2,26,0.71,1,1,1,0,1,1,1,0,0,1,1,1,KABUPATEN BURU,1290000
597,Morey Mannion,+62 816-049-610,1,2,9,5,39,0.86,0,0,1,1,1,1,0,0,0,0,1,0,KABUPATEN PASAMAN BARAT,1080000
598,Morlee Wakenshaw,+62 883-058-801,1,3,10,7,30,0.57,0,0,0,1,1,1,1,0,1,0,1,0,KABUPATEN LOMBOK TENGAH,1450000
599,Muhammad Ariyadi Gultom,+62 884-8409-939,1,5,1,0,21,1,1,1,1,1,1,0,1,0,0,1,1,1,KABUPATEN BIAK NUMFOR,1890000
600,Muhammad Druitt,+62 816-7689-8813,1,3,2,1,37,0.29,1,0,0,1,1,1,0,1,1,1,1,1,KABUPATEN JAYAWIJAYA,1070000
601,Mustafid Sulistiyo,+62 838-630-274,1,2,11,10,36,0.29,1,1,1,0,1,1,0,0,0,0,1,1,KABUPATEN MESUJI,1430000
602,Mustofa Hamdi,+62 897-918-176,1,5,5,3,33,0.57,1,1,1,0,1,0,1,1,0,0,1,1,KABUPATEN SUBANG,1870000
603,Mustofa Kurniansyah,+62 814-8685-80154,1,5,4,1,29,0.86,0,1,0,0,0,1,1,0,0,1,1,0,KOTA BEKASI,1180000
604,Muthia Djiddy,+62 875-9283-02109,0,1,6,0,26,0.71,1,0,1,1,1,1,1,1,0,1,0,0,KABUPATEN BLITAR,540000
605,Muthia Satrio,+62 872-309-194,0,1,3,3,23,0.57,1,0,1,1,0,0,1,0,0,0,0,0,KABUPATEN SIGI,1030000
606,Mychal Elmes,+62 839-2011-45472,1,3,14,13,39,1,0,1,0,1,0,0,0,1,0,1,1,0,KOTA CILEGON,1910000
607,Mylo Hill,+62 850-6035-283,1,5,1,1,28,0,1,1,1,0,1,1,0,0,1,1,1,1,KOTA PAGAR ALAM,660000
608,Nanda Listyani,+62 886-603-172,0,1,5,0,28,1,0,0,1,0,1,0,1,1,0,1,0,1,KABUPATEN PATI,1890000
609,Nappie Pinwill,+62 857-8681-859,1,5,6,1,35,0,1,1,1,0,0,1,1,1,1,0,1,1,KABUPATEN SOPPENG,1360000
610,Nat Catherine,+62 817-8119-029,1,5,11,1,31,0.71,1,1,1,1,1,1,1,0,1,1,1,1,KABUPATEN MOROWALI UTARA,1730000
611,Natasha Ruslian,+62 892-7966-0303,0,1,10,6,37,0,0,0,1,1,0,1,1,0,1,1,0,0,KABUPATEN SUMBA BARAT,620000
612,Natty McIlrath,+62 825-5018-050,1,3,2,2,28,0.43,0,0,1,0,1,1,1,1,1,0,1,1,KABUPATEN ACEH TENGAH,860000
613,Naufal Hartina,+62 818-859-132,1,5,5,2,25,1,1,0,1,1,1,0,0,0,1,0,1,1,KABUPATEN SAMBAS,1600000
614,Naufal Kahfi,+62 889-5341-2651,1,2,7,6,30,0.29,0,0,0,0,1,1,0,0,1,1,1,1,KOTA PROBOLINGGO,1230000
615,Neall Maris,+62 818-1258-8915,1,5,2,2,27,0.71,0,0,0,1,0,1,0,1,0,1,1,0,KABUPATEN TANGGAMUS,550000
616,Nealson MacGillespie,+62 816-4536-5645,1,3,9,8,33,0.43,0,1,1,0,1,1,0,1,1,1,1,1,KABUPATEN TAPANULI UTARA,2000000
617,Neil Sharratt,+62 860-9892-9051,1,5,5,1,32,1,1,0,0,0,1,1,0,1,0,1,0,0,KABUPATEN KEPULAUAN ANAMBAS,530000
618,Neill Golborn,+62 817-1478-124,1,3,4,3,39,0.29,1,0,1,1,0,0,1,0,0,0,0,1,KABUPATEN SUMENEP,1280000
619,Nelly Labas,+62 898-3638-157,0,2,12,1,32,0.86,1,1,1,1,1,0,1,0,0,1,0,1,KABUPATEN BANDUNG BARAT,1990000
620,Nero Stoller,+62 839-4582-3129,1,3,8,2,29,0.29,0,0,1,0,0,1,0,1,0,1,1,1,KABUPATEN BANYUMAS,1740000
621,Neva Haddad,+62 861-9330-738,0,1,1,0,21,0.71,1,0,0,1,0,0,1,0,0,1,1,1,KABUPATEN SUKAMARA,630000
622,Nevile Platt,+62 813-026-184,1,3,9,8,32,0.57,0,1,0,1,1,1,0,1,0,1,1,1,KABUPATEN BANGKA BARAT,1380000
623,Nichols Tregenza,+62 864-207-677,1,3,10,5,35,0,1,0,1,1,0,1,1,0,0,1,0,0,KOTA SINGKAWANG,680000
624,Nickolai Rogge,+62 867-8388-10896,1,2,7,7,33,0.14,1,0,0,1,0,1,1,0,1,1,1,0,KABUPATEN CIREBON,880000
625,Nicola Farland,+62 854-644-942,1,3,1,1,21,0,1,0,1,1,0,0,1,1,1,0,0,1,KABUPATEN BANGGAI,1060000
626,Nicola Keaysell,+62 879-8435-462,1,2,3,0,23,0.29,0,0,0,1,0,0,1,0,1,1,1,0,KABUPATEN MUSI BANYUASIN,840000
627,Nicolas Ahmadi,+62 811-0330-6688,1,3,13,3,35,1,1,1,0,0,1,0,1,0,1,1,0,1,KABUPATEN TRENGGALEK,1310000
628,Nicolas Ariefandi,+62 863-5693-7291,1,5,10,4,32,0.29,0,1,0,0,1,0,0,1,0,1,0,0,KABUPATEN PAHUWATO,1840000
629,Nika Nurkhasanah,+62 891-1320-6274,0,2,17,1,38,1,0,0,0,0,1,0,1,1,1,1,1,1,KOTA SORONG,1970000
630,Nikki Shimmin,+62 885-398-820,1,3,0,0,38,0.57,0,0,0,0,1,0,1,1,0,0,0,0,KABUPATEN SINJAI,1070000
631,Nils Karpmann,+62 813-1405-39938,1,2,17,7,38,1,1,1,1,0,1,1,0,0,1,1,1,1,KABUPATEN BUNGO,620000
632,Nindy Cahya,+62 810-2872-3737,0,1,8,0,30,0.71,0,1,0,1,0,1,0,1,0,1,0,1,KOTA TASIKMALAYA,1470000
633,Noby Skellern,+62 883-3348-66214,1,3,4,2,28,0.71,0,0,1,0,0,0,0,0,0,0,1,1,KABUPATEN SARMI,740000
634,Norrie Brisard,+62 829-4676-44691,1,5,7,3,30,0.57,1,1,1,1,1,0,1,0,0,0,0,0,KOTA SUNGAI PENUH,750000
635,Norry Heinsius,+62 868-1298-047,1,3,0,0,24,0,0,0,1,0,0,0,1,1,0,1,0,1,KABUPATEN NAGAN RAYA,690000
636,Oberon Aingel,+62 810-323-070,1,5,9,4,32,0.43,1,1,1,0,0,0,0,0,1,0,0,1,KABUPATEN PAKPAK BHARAT,1140000
637,Obie Galle,+62 821-298-271,1,3,1,1,24,1,0,1,1,0,1,0,1,0,0,0,1,0,KABUPATEN PEGUNUNGAN ARFAK,740000
638,Ogden Boyford,+62 897-6588-1595,1,5,2,2,39,0.57,1,1,1,0,1,0,1,0,1,0,0,1,KABUPATEN LAMPUNG SELATAN,1790000
639,Ogie Utomo,+62 879-5549-0842,1,5,17,16,38,0.86,1,1,1,1,1,0,1,1,0,1,1,1,KOTA SUKABUPATENUMI,1340000
640,Okky Abdullah Oktazilvia,+62 872-418-708,1,3,11,9,34,0.14,1,1,1,0,0,0,1,1,0,0,0,1,KABUPATEN RAJA AMPAT,890000
641,Olav Sikorsky,+62 855-9733-385,1,4,2,2,28,0.57,1,1,1,0,0,1,1,1,0,0,0,1,KABUPATEN JOMBANG,1410000
642,Omar Joan,+62 880-168-953,1,3,17,7,37,0,0,0,0,0,1,1,1,0,0,0,1,1,KABUPATEN LANDAK,1370000
643,Oren Keuntje,+62 895-270-081,1,5,12,3,39,0.14,0,0,0,1,0,1,1,0,1,0,1,1,KOTA SAMARINDA,1170000
644,Orion Cawt,+62 854-4763-826,1,2,5,2,28,0.14,1,0,0,0,1,0,0,0,1,1,0,1,KABUPATEN MALUKU TENGGARA,1530000
645,Orrin Biaggioli,+62 838-302-670,1,5,12,9,33,0.29,0,0,1,0,1,0,1,0,0,0,1,1,KABUPATEN ACEH BARAT DAYA,1280000
646,Orrin Middlemiss,+62 888-5001-737,1,3,7,5,28,0.43,1,0,0,1,0,0,1,1,1,0,1,0,KOTA PAYAKUMBUH,610000
647,Orton Beushaw,+62 817-2450-82844,1,5,13,5,38,0.71,1,1,0,0,1,1,1,1,1,0,0,0,KOTA DUMAI,1430000
648,Osborne Kingett,+62 898-8220-4822,1,3,1,1,26,0.57,1,1,0,1,1,1,0,1,1,1,0,0,KABUPATEN PULANG PISAU,1010000
649,Ossi Syabantika,+62 882-7093-1469,0,1,1,0,21,0.57,0,0,1,1,1,0,1,0,1,1,0,0,KABUPATEN MALUKU TENGGARA,870000
650,Othello Wolfindale,+62 871-349-291,1,3,5,4,29,0.29,0,1,0,1,1,0,0,0,1,1,1,1,KOTA BINJAI,940000
651,Otto Mohun,+62 822-7685-01411,1,5,11,4,31,0.86,0,1,1,1,0,1,0,0,1,1,0,0,KABUPATEN WAROPEN,980000
652,Otto Pilsbury,+62 895-3161-42160,1,3,8,1,30,0.43,1,0,1,1,0,1,1,0,0,0,1,1,KABUPATEN PACITAN,1400000
653,Owen MacKenny,+62 897-3914-9407,1,3,3,2,32,0.43,0,1,1,0,0,1,0,0,1,0,0,0,KABUPATEN MALAKA,1550000
654,Padget Lammenga,+62 867-603-864,1,3,9,5,32,0.14,0,1,1,0,0,1,1,1,1,1,1,0,KOTA PARE PARE,1170000
655,Padraic Demann,+62 888-2932-642,1,2,8,3,30,0.14,1,0,1,1,0,0,1,0,1,1,1,1,KABUPATEN KEPULAUAN SANGIHE,1990000
656,Pandu Chaerul Sihombing,+62 827-2306-39215,1,5,0,0,33,0.29,0,1,0,0,0,1,0,0,1,0,0,1,KABUPATEN KAPUAS HULU,820000
657,Pasquale Crane,+62 859-2105-875,1,5,3,1,23,0.86,0,1,1,0,0,0,1,1,1,0,0,0,KABUPATEN TANA TIDUNG,1520000
658,Patrice Brookwell,+62 837-1385-708,1,2,1,0,29,0.71,0,1,1,0,1,0,1,0,0,1,0,0,KABUPATEN KONAWE SELATAN,1430000
659,Patrizius Windless,+62 850-6340-535,1,3,3,1,23,0,0,1,1,0,0,0,0,0,1,1,0,1,KABUPATEN MAGETAN,2000000
660,Pauly Sargison,+62 895-567-581,1,3,0,0,22,0,0,1,0,0,0,0,0,0,0,1,1,1,KABUPATEN GORONTALO,1590000
661,Penrod Adamsen,+62 879-4008-549,1,5,8,0,35,0.29,0,1,0,1,1,1,0,0,1,0,0,1,KABUPATEN SAMPANG,1330000
662,Perceval Way,+62 810-3195-08416,1,3,1,1,24,0.57,0,0,1,0,0,0,0,1,0,1,1,1,KABUPATEN LEMBATA,1540000
663,Permana Hasaniy,+62 820-5996-66298,1,5,5,5,31,0.86,1,1,1,1,1,1,1,1,0,0,1,1,KABUPATEN LAMPUNG SELATAN,540000
664,Permata Mayori,+62 897-808-533,0,1,0,0,32,0.29,1,0,1,0,0,1,0,0,1,0,1,1,KABUPATEN LAMPUNG TIMUR,960000
665,Peterus Elliman,+62 834-448-506,1,3,5,5,30,1,0,0,1,0,0,1,0,0,1,1,1,1,KOTA BALIKPAPAN,590000
666,Philbert Nye,+62 870-8564-451,1,2,3,1,25,0.43,0,1,0,1,1,0,0,1,1,1,1,1,KOTA BINJAI,1590000
667,Phineas Yerrill,+62 859-8010-264,1,3,6,2,37,0.14,1,0,0,0,1,1,0,0,1,0,0,1,KOTA TANGERANG,1880000
668,Pierson Tabourin,+62 831-9096-966,1,5,16,10,38,0,1,0,0,0,0,0,0,0,0,0,1,0,KABUPATEN SEKADAU,1390000
669,Pieter Cattell,+62 879-525-461,1,2,2,0,33,0.71,0,0,0,0,0,1,1,0,1,0,1,0,KABUPATEN HALMAHERA BARAT,1730000
670,Pietrek Tradewell,+62 873-353-580,1,5,4,3,33,0.43,1,0,0,1,0,1,0,1,1,1,0,0,KABUPATEN NGAWI,880000
671,Pippo Condict,+62 864-067-351,1,5,17,5,39,0.14,1,0,1,1,1,0,1,1,0,1,0,0,KABUPATEN LAMANDAU,1480000
672,Praditia Rahma,+62 816-3978-246,1,5,19,18,39,0.86,0,0,0,1,0,1,0,1,0,1,1,1,KABUPATEN LUWU UTARA,1940000
673,Praditia Zonanda,+62 864-3753-38575,1,3,10,8,36,1,1,0,0,0,0,1,0,0,0,1,0,0,KOTA ADM. JAKARTA UTARA,1750000
674,Pratama Mediarrahman,+62 851-0179-538,1,5,2,1,22,0.29,1,1,1,1,1,0,0,1,0,1,1,1,KABUPATEN NGANJUK,1050000
675,Prieskha Naenggolan,+62 878-3530-0145,0,1,4,3,24,0.86,1,0,0,0,1,1,0,1,1,1,1,1,KABUPATEN HULU SUNGAI UTARA,1810000
676,Priyohadi Aggil Maulana,+62 827-021-151,1,5,1,1,21,0.57,1,0,1,1,1,1,1,0,0,0,0,1,KABUPATEN PURWAKARTA,1020000
677,Priyohadi Ainina,+62 860-897-578,1,5,1,1,23,0.86,1,1,0,0,0,0,0,0,1,1,1,1,KOTA KEDIRI,570000
678,Priyohadi Hadyan,+62 873-338-152,1,5,3,3,24,0,1,1,1,1,0,1,0,0,0,0,1,1,KABUPATEN LABUHANBATU SELATAN,990000
679,Putri Machmud,+62 830-4867-6442,0,1,1,1,24,0.86,0,0,1,1,0,0,0,0,0,0,0,0,KABUPATEN REJANG LEBONG,1720000
680,Putrima Yunika,+62 838-3662-79849,0,2,0,0,23,0,1,1,0,1,1,0,0,0,0,1,1,0,KABUPATEN KAUR,1390000
681,Quinton Gary,+62 879-0272-135,1,5,9,0,31,0.57,1,0,1,1,1,0,1,0,1,0,0,1,KABUPATEN TULUNGAGUNG,1540000
682,Quintus Braz,+62 814-7540-539,1,3,0,0,21,0,0,1,0,0,1,0,0,1,1,1,1,1,KABUPATEN BANJARNEGARA,730000
683,Rabi Danniell,+62 863-6921-80902,1,5,2,0,27,0,0,0,1,1,1,1,0,0,0,1,1,0,KABUPATEN BENER MERIAH,1120000
684,Raddie Rushmare,+62 835-6736-8494,1,2,2,0,24,0.57,0,1,1,0,1,1,0,1,1,0,0,0,KOTA SUKABUPATENUMI,610000
685,Raden Asjari,+62 884-4049-893,0,2,0,0,21,0.14,1,0,1,1,0,0,1,1,1,0,1,0,KABUPATEN PEGUNUNGAN ARFAK,730000
686,Raden Sulistyaningra,+62 887-2550-90005,0,2,0,0,26,1,0,0,1,1,1,1,0,1,0,1,1,0,KABUPATEN MALANG,1750000
687,Radja Jordan,+62 828-7825-19539,1,5,2,1,34,0.86,0,0,0,1,1,1,0,1,1,1,1,0,KABUPATEN MUKO MUKO,1890000
688,Raff Whiting,+62 898-2045-19865,1,5,2,2,28,0.71,0,1,1,1,0,1,0,0,0,0,0,0,KABUPATEN BARITO KUALA,1770000
689,Rahardianto Fadhillah,+62 895-8162-091,1,3,5,2,28,0.29,0,0,1,0,1,0,0,1,0,1,0,0,KABUPATEN SUMEDANG,1920000
690,Rahmalia Hendrika,+62 898-7358-118,0,2,5,5,36,0.71,0,0,0,0,0,0,0,1,0,0,1,1,KABUPATEN DONGGALA,920000
691,Rainer Radwell,+62 811-283-179,1,2,6,5,28,1,0,1,0,1,1,0,0,0,1,1,1,0,KABUPATEN SUMEDANG,860000
692,Randie Campana,+62 837-6850-352,1,5,6,4,27,0.14,1,1,1,1,1,0,1,1,0,0,1,0,KOTA MADIUN,1940000
693,Randolf Charman,+62 897-2997-8092,1,2,6,6,28,1,0,0,1,0,1,0,0,1,1,0,0,1,KABUPATEN HALMAHERA BARAT,510000
694,Ranea Anantarqi,+62 866-811-658,0,2,7,5,31,0.86,1,0,0,0,0,1,1,0,1,1,1,1,KOTA PALEMBANG,1580000
695,Rangga A,+62 828-4711-043,1,5,3,3,27,0.14,1,0,1,1,1,0,1,1,0,1,1,1,KABUPATEN KEPULAUAN SELAYAR,940000
696,Raphael Roggero,+62 833-852-605,1,2,11,9,36,0,0,1,0,0,0,0,0,1,1,1,0,1,KOTA PRABUMULIH,1760000
697,Rarahayu Fitriani,+62 874-7205-652,0,1,6,4,38,0.29,1,0,1,0,1,0,0,1,0,0,1,1,KOTA TASIKMALAYA,1000000
698,Rawley Clarabut,+62 891-2953-0897,1,5,1,1,24,0.14,1,0,1,1,1,0,1,1,0,1,1,0,KABUPATEN LAHAT,1120000
699,Ray Hartina,+62 838-7570-102,1,2,10,0,30,0.71,0,1,1,1,0,0,0,1,0,1,0,1,KABUPATEN BUTON,690000
